"name","routes","st_astext"
"Pacific St","D,M,N,R","POINT(586298.75067262 4504153.893236804)"
"Park Pl","S","POINT(588080.887248286 4503135.4682305455)"
"Parkside Ave","Q","POINT(587788.0447103807 4500978.5110083595)"
"Pennsylvania Ave","3","POINT(593478.0637488111 4502131.718112339)"
"President St","2,5","POINT(588693.3897814079 4502438.625005739)"
"Prospect Ave","M,R","POINT(585127.7484064528 4502101.2194087505)"
"Prospect Park","B,Q,S","POINT(587701.7795462941 4501885.841687945)"
"Ralph Ave","C","POINT(591130.1829105661 4503668.010730743)"
"Rockaway Ave","C","POINT(592048.8922604605 4503613.274931814)"
"Rockaway Ave","3","POINT(592233.2809087641 4501871.83204181)"
"Rockaway Pky","L","POINT(592787.4497861984 4499974.744075945)"
"Saratoga Ave","3","POINT(591669.8769093804 4501753.088328857)"
"Sheepshead Bay","B,Q","POINT(588505.7452735959 4493475.838855857)"
"Shepherd Ave","C","POINT(594589.934634546 4503184.038981728)"
"Smith St","F,G","POINT(584781.1732865795 4503083.751099048)"
"Sterling St","2,5","POINT(588680.680273923 4501889.227150777)"
"Sutter Ave","L","POINT(592827.9705861356 4502529.200672824)"
"Sutter Ave","3","POINT(591049.9017321867 4502117.42392609)"
"Union St","M,R","POINT(585944.3849066141 4503444.357658879)"
"Utica Ave","A,C","POINT(590506.5379795557 4503706.489216886)"
"Utica Ave","3,4","POINT(590337.7903920852 4502540.23682784)"
"Van Siclen Ave","C","POINT(593789.8206496633 4503019.348986997)"
"Van Siclen Ave","J,Z","POINT(593665.4199847749 4503606.8730037175)"
"Van Siclen Ave","3","POINT(593947.1146265123 4502225.892101369)"
"W 8th St","F,Q","POINT(586669.8723330392 4492207.7849668125)"
"Wilson Ave","L","POINT(592583.9350630287 4504758.864925056)"
"Winthrop St","2,5","POINT(588743.4592526458 4501220.194755563)"
"Wyckoff Ave","M","POINT(591985.1397867528 4505975.9210987585)"
"York St","F","POINT(585600.313133935 4506117.303440262)"
"103rd St","6","POINT(588783.3683566097 4516014.70932135)"
"103rd St","A,B,C","POINT(587614.7531089615 4516642.313958004)"
"103rd St","1","POINT(587007.2211526942 4516969.767568686)"
"110th St","6","POINT(589053.8822390293 4516516.041408009)"
"110th St","B,C","POINT(587882.1223990923 4517141.473143436)"
"110th St","2,3","POINT(588347.9793387916 4516900.674660513)"
"116th St","2,3","POINT(588598.6045875914 4517311.488790914)"
"116th St","6","POINT(589282.906439204 4516942.210786375)"
"116th St","B,C","POINT(588115.7627572871 4517573.482563743)"
"116th St","1","POINT(587389.7377955408 4517959.341232643)"
"125th St","2,3","POINT(588946.053492644 4517956.076855855)"
"125th St","4,5,6","POINT(589627.2123781446 4517579.629595972)"
"125th St","A,B,C,D","POINT(588342.3578932708 4518280.122285851)"
"125th St","1","POINT(587853.6554614721 4518817.164118362)"
"135th St","B,C","POINT(588719.8486438567 4518988.782904545)"
"135th St","2,3","POINT(589327.8214340704 4518664.636084616)"
"137th St","1","POINT(588197.4658919239 4519456.949459988)"
"145th St","3","POINT(589707.4109297954 4519365.932197033)"
"145th St","A,B,C,D","POINT(588987.8328635037 4519762.375897892)"
"145th St","1","POINT(588501.589219501 4520021.622326814)"
"148th St","3","POINT(589618.0210584867 4519775.085904993)"
"14th St","4,5,6","POINT(585292.3787556542 4509774.144843037)"
"6th Ave","F,L,V","POINT(584706.0078575041 4510082.876590091)"
"14th St","1,2,3","POINT(584461.581633857 4510215.362520242)"
"155th St","B,D","POINT(589459.0125571827 4520422.272332501)"
"155th St","C","POINT(589258.5828330356 4520522.450457714)"
"157th St","1","POINT(588960.5630421191 4520872.285496113)"
"163rd St","C","POINT(589359.456618276 4521195.947726056)"
"168th St","A,C","POINT(589404.4587739119 4521645.649695302)"
"168th St","1","POINT(589382.8259545737 4521655.901464005)"
"175th St","A","POINT(589350.5662628311 4522262.158551728)"
"181st St","A","POINT(589493.8558640634 4522751.5395561475)"
"181st St","1","POINT(589880.5677850548 4522579.271152773)"
"18th St","1","POINT(584608.387293834 4510492.389692398)"
"190th St","A","POINT(589712.8374790663 4523442.335027332)"
"191st St","1","POINT(590254.539535299 4523273.222522348)"
"1st Ave","L","POINT(585917.2282260855 4509433.317077449)"
"207th St","A","POINT(590915.7743868869 4524631.994676709)"
"207th St","1","POINT(591107.3072682222 4524273.189448506)"
"215th St","1","POINT(591414.4575128901 4524839.654948376)"
"225th St","1","POINT(591868.1904676465 4525412.098959765)"
"23rd St","6","POINT(585581.6754400766 4510408.398646712)"
"23rd St","C,E","POINT(584553.44378941 4510966.304225753)"
"23rd St","F,V","POINT(585040.0819936949 4510703.830782101)"
"23rd St","N,R,W","POINT(585337.9074733165 4510540.563891112)"
"23rd St","1","POINT(584793.7954682001 4510834.345722563)"
"28th St","6","POINT(585771.9337935997 4510759.751148567)"
"28th St","N,R,W","POINT(585376.9298707743 4510974.545408158)"
"28th St","1","POINT(584984.161742245 4511186.347011438)"
"2nd Ave","F,V","POINT(585205.4780075889 4508571.799152946)"
"33rd St","6","POINT(585957.2623876379 4511105.1943025)"
"34th St","A,C,E","POINT(584967.7698188315 4511737.391225167)"
"34th St","B,D,F,N,Q,R,V,W","POINT(585434.1568157991 4511429.421341235)"
"34th St","1,2,3","POINT(585211.0149838531 4511606.382286051)"
"3rd Ave","L","POINT(585522.8602098726 4509643.576365797)"
"42nd St","B,D,F,V","POINT(585753.8715067619 4512038.525717521)"
"42nd St","A,C,E","POINT(585272.6834072953 4512298.558256841)"
"47th-50th Sts","B,D,F,V","POINT(585984.0552271885 4512463.545461451)"
"49th St","N,R,W","POINT(585778.6673271119 4512661.791802025)"
"50th St","C,E","POINT(585577.2863809554 4512865.618767906)"
"50th St","1","POINT(585751.245607807 4512769.629879003)"
"51st St","6","POINT(586780.4926467581 4512304.301414792)"
"57th St","N,Q,R,W","POINT(586084.1153909281 4513227.770105675)"
"57th St","F","POINT(586325.2794157271 4513096.844102779)"
"59th St","4,5,6","POINT(587090.4937440046 4512876.707140024)"
"59th St","A,B,C,D","POINT(585922.593924491 4513506.111485398)"
"59th St","1","POINT(585933.6707045776 4513500.167917318)"
"5th Ave","E,V","POINT(586447.6611779216 4512666.46008417)"
"5th Ave","N,R,W","POINT(586714.3625269115 4513161.290681388)"
"5th Ave","7","POINT(586025.8611811907 4511885.943436085)"
"66th St","1","POINT(585889.3034530007 4514152.681335008)"
"68th St","6","POINT(587430.060968678 4513505.55859977)"
"72nd St","B,C","POINT(586414.2706697679 4514417.500389527)"
"72nd St","1,2,3","POINT(585908.5613706883 4514695.6228188295)"
"79th St","1","POINT(586065.4491203394 4515262.109323109)"
"7th Ave","B,D,E","POINT(585933.0196836857 4512946.416213249)"
"81st St","B,C","POINT(586763.7553195844 4515066.735083626)"
"86th St","4,5,6","POINT(588129.3729097674 4514803.71186059)"
"86th St","B,C","POINT(586963.7301170218 4515435.930771665)"
"86th St","1","POINT(586354.118763985 4515762.969013205)"
"8th Ave","A,C,E,L","POINT(584221.9594690695 4510351.424082129)"
"8th St","N,R,W","POINT(585083.8210040339 4509337.170447678)"
"96th St","6","POINT(588514.2523585234 4515514.249809545)"
"96th St","B,C","POINT(587346.1120920168 4516146.915180375)"
"96th St","1,2,3","POINT(586741.0244733429 4516471.064305738)"
"Astor Pl","6","POINT(585170.2395129508 4509257.444612183)"
"Bleecker St","6","POINT(584901.3978172147 4508818.983088133)"
"Bowery","J,M,Z","POINT(584960.9725212902 4508197.383021444)"
"Bowling Green","4,5","POINT(583292.7834318889 4506467.977846056)"
"Broad St","J,M,Z","POINT(583571.9059213118 4506714.341192182)"
"Broadway-Lafayette St","B,D,F,V","POINT(584817.926195262 4508733.526676661)"
"Broadway-Nassau St","A,C","POINT(583765.5389690103 4507092.682534089)"
"Brooklyn Bridge","4,5,6","POINT(584011.1284494954 4507286.414933407)"
"Canal St","6","POINT(584414.3752830802 4507981.764333538)"
"Canal St","A,C,E","POINT(583998.1817983227 4508362.503834924)"
"Canal St","J,M,Z","POINT(584465.1703750256 4507936.068373462)"
"Canal St","N,Q,R,W","POINT(584300.4493065587 4508088.955894568)"
"Canal St","1","POINT(583917.6087678829 4508436.419743836)"
"Cathedral Pky","1","POINT(587158.9977943802 4517531.30992596)"
"Chambers St","A,C","POINT(583788.936394161 4507583.897534726)"
"Chambers St","J,M,Z","POINT(584140.5517670959 4507379.792250548)"
"Chambers St","1,2,3","POINT(583682.4681481959 4507649.179579964)"
"Christopher St","1","POINT(584205.2406644473 4509664.2665469665)"
"City Hall","R,W","POINT(583870.8494695841 4507402.398587283)"
"Essex St","F,J,M,Z","POINT(585455.3800412201 4508004.377914882)"
"Dyckman St","A","POINT(590398.5820488513 4524380.3718244275)"
"Dyckman St","1","POINT(590625.979669456 4523936.7369371075)"
"East Broadway","F","POINT(585291.2507139703 4507525.829518954)"
"Franklin St","1","POINT(583873.0808596165 4508054.991173407)"
"Fulton St","4,5","POINT(583700.7094213167 4507132.750144304)"
"Fulton St","J,M,Z","POINT(583815.2183196547 4507062.380006513)"
"Fulton St","2,3","POINT(583929.3401193519 4506989.6138029685)"
